UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGTEST,W1018,W1207,IDZ65,CLR,STM,DIETPEN
11EW00328,Z0268,,HAIRY SCOURS,0,1,,81,e20,,Preg,,93,0,3,R3,
11EW00329,L0486,,.,0,1,,103,e15,,Preg,,120,0,5,PC,
11EW00330,K4830,,4TEATS,0,3,,72,e1,,Open,,83,0,1,06,
11EW00331,H6621,,SCOURS,0,1,,80,e10,,Preg,,94,0,1,30,
11EW00332,R8652,,SCOURS,0,1,,76,e12,,Open,,78,0,1,07,
11EW00333,K4832,,4TEATS SCOURS,0,1,,98,e2,,Preg,,110,0,1,06,
11EW00334,T4008,,HAIRY,0,1,,83,e22,,Open,,105,0,1,02,
11EW00335,H6625,,HAIRY SCOURS,0,3,,78,e8,,Open,,92,0,1,30,
11EW00336,Z0279,,ENTROPION,0,1,,131,e16,,Preg,,133,0,5,CS,
11EW00337,Z0282,,.,0,1,,104,e5,,Preg,,112,0,6,97,
11EW00338,Z0283,,.,0,1,,108,e5,,Preg,,118,0,6,97,
11EW00339,T4012,,HAIRY,0,1,,105,e26,,Open,,117,0,1,02,
11EW00340,R8656,,.,0,1,,100,e11,,Preg,,106,0,1,07,
11EW00341,R8658,,SCOURS,0,1,,81,e20,,Open,,95,0,1,07,
11EW00342,Z0287,,HAIRY,0,1,,80,e19,,Preg,,91,0,1,R3,
11EW00343,Z0288,,HAIRY,0,1,,99,e20,,Preg,,112,0,1,R3,
11EW00344,Z0289,,4TEATS SCOURS,0,1,,101,brt,,,,0,0,1,33,
11EW00345,T4013,,E1E,0,1,,98,e24,,Open,,102,0,1,02,
11EW00346,T4015,,2ND,0,1,,98,e26,,Open,,116,0,1,02,
11EW00347,T4016,,3RD,0,1,,109,e26,,Open,,110,0,1,02,
11EW00348,K4834,,E1E,0,1,,118,e1,,Open,,122,0,1,06,
11EW00349,T4017,,4TEATS,0,1,,102,e26,,Open,,120,0,1,02,
11EW00350,H6632,,SCOURS,0,1,,76,e17,,Open,,80,0,1,30,
11EW00351,H6634,,.,0,1,,79,e19,,Preg,,75,0,1,30,
11EW00352,Z0294,,4T.BLK.EYES,0,1,,87,e6,,Preg,,99,0,2,CM,
11EW00353,Z0296,,Bgrp 1,0,1,,68,13,,Open,,70,0,9,00,
11EW00354,T4020,,HAIRY,0,1,,83,e26,,Open,,98,0,1,02,
11EW00355,T4021,,4T.NICE,0,1,,112,e26,,Open,,128,0,1,02,
11EW00356,T4022,,3T.E2E,0,1,,78,e26,,Open,,101,0,1,02,
11EW00357,K4837,,4T.E.L.EYE,0,1,,89,e1,,Open,,99,0,1,06,
11EW00358,T4024,,3T.PINK,0,1,,81,e26,,Open,,95,0,1,02,
11EW00359,T4025,,.,0,1,,91,e26,,Open,,97,0,1,02,
11EW00360,Z0302,,.,0,1,,127,e16,,Preg,,128,0,5,CS,
11EW00361,T4027,,E.R.EYE.PINK,0,1,,84,e26,,Open,,86,0,1,02,
11EW00362,R8661,,PINK,0,1,,95,e18,,Preg,,119,0,1,07,
11EW00363,H6650,,HAIRY,0,1,,106,e19,,Preg,,101,0,1,30,
11EW00364,H6653,,4TEATS,0,1,,95,e9,,Preg,,110,0,1,30,
11EW00365,Z0309,,E2EWEAKWASH66,0,1,,75,brt,,,,0,0,1,33,
11EW00366,Z0308,,4T.WEAKWASH66,0,1,,75,brt,,,,77,0,1,33,
11EW00367,T4030,,PINK,0,1,,79,,,Open,,,0,1,02,
11EW00368,T4031,,PINK.HAIRY,0,1,,97,e26,,Open,,125,0,1,02,
11EW00369,T4032,,PINK.BRITCHY,0,1,,109,e21,,Preg,,126,0,1,02,
11EW00370,H6669,,PINK.HAIRY,0,1,,106,e17,,Preg,,126,0,1,30,
11EW00371,T4038,,.,0,1,,86,e26,,Open,,104,0,1,02,
11EW00372,R8663,,3T.HAIRY SCOU,0,3,,83,e18,,Open,,104,0,1,07,
11EW00373,T4039,,4T.HAIRY,0,1,,109,e26,,Open,,113,0,1,02,
11EW00374,T4042,,4TEATS,0,1,,76,,,,,,0,1,02,
11EW00375,T4043,,4T.PINK,0,1,,73,,,Open,,,0,1,02,
11EW00376,H6644,,SCOURS,0,1,,73,e18,,Preg,,76,0,1,30,
11EW00377,H6671,,.,0,1,,119,e9,,Preg,,122,0,1,30,
11EW00378,R8667,,4TEATS,0,1,,116,e19,,Preg,,123,0,1,07,
11EW00379,L0496,,1ST.4T,0,1,,80,e13,,Open,,88,0,5,PC,
11EW00380,R8670,,PINK.HAIRY,0,3,,102,e20,,Preg,,118,0,1,07,
11EW00381,H6672,,PINK,0,1,,110,e18,,Preg,,123,0,1,30,
11EW00382,Z0316,,PINK,0,1,,99,brt,,Preg,,104,0,1,33,
11EW00383,Z0317,,HAIRY.E.L.EYE,0,1,,105,brt,,Preg,,103,0,1,33,
11EW00384,T4048,,.,0,1,,101,e22,,Preg,,115,0,1,02,
11EW00385,R8672,,.,0,1,,77,e12,,,,0,0,1,07,
11EW00386,Z0319,,4TEATS,0,1,,118,e16,,Preg,,129,0,5,SC,
11EW00387,Z0321,,4T.HAIRY.E2E,0,3,,64,brt,,,,0,0,1,33,
11EW00388,T4050,,1ST,0,1,,83,e26,,Open,,92,0,1,02,
11EW00389,L0498,,H.E2E SCOURS,0,1,,110,e13,,Preg,,117,0,5,PC,
11EW00390,Z0324,,3T.LGBLSPTWTH,0,1,,105,e16,,Preg,,117,0,5,SC,
11EW00391,H6680,,.,0,1,,113,e20,,Preg,,127,0,1,30,
11EW00392,T4054,,.,0,1,,101,e23,,Open,,117,0,1,02,
11EW00393,Z0331,,NICE LAMB,0,1,,115,e3,,Preg,,133,0,2,C3,
11EW00394,Z0332,,4T.E.L.EYESCO,0,1,,95,e3,,Open,,110,0,5,C3,
11EW00395,H6682,,.,0,1,,78,e20,,,,0,0,1,30,
11EW00396,H6683,,3T,0,1,,84,e17,,Preg,,104,0,1,30,
11EW00397,Z0340,,HAIRY SCOURS,0,1,,82,e6,,Open,,97,0,1,CM,
11EW00398,H6685,,.,0,1,,83,e17,,Preg,,96,0,1,30,
11EW00399,R8678,,3T.PINK,0,3,,97,e17,,Preg,,112,0,1,07,
11EW00400,H6686,,PINK,0,1,,96,e8,,Preg,,110,0,1,30,
11EW00401,L0504,,NICE LAMB,0,1,,117,e14,,Preg,,124,0,5,PC,
11EW00402,T4059,,NICE LAMB,0,1,,108,e26,,Open,,115,0,1,02,
11EW00403,R8680,,PINK,0,1,,86,e18,,Open,,102,0,1,07,
11EW00404,R8681,,PINK.HAIRY.4T,0,3,,83,e19,,Open,,82,0,1,07,
11EW00405,R8682,,.,0,3,,60,e17,,Open,,65,0,1,07,
11EW00406,Z0343,,E2E.NICE,0,1,,120,e16,,Open,,99,0,5,CS,
11EW00407,L0506,,NICE LAMB,0,1,,102,e14,,Preg,,118,0,5,PC,
11EW00408,R8688,,HAIRY.PINK,0,3,,90,e18,,Preg,,102,0,1,07,
11EW00409,H6709,,2ND,0,1,,97,e20,,Preg,,107,0,1,30,
11EW00410,L0507,,.,0,1,,105,e13,,Preg,,114,0,2,PC,
11EW00411,Z0351,,3T,0,1,,111,e4,,Preg,,123,0,5,97,
11EW00412,R8691,,.,0,1,,94,e18,,Preg,,98,0,1,07,
11EW00413,R8692,,BREARSBLFRECL,0,1,,83,e17,,Open,,95,0,2,07,
11EW00414,T4060,,PINK.NICEOVER,0,1,,105,e26,,Open,,108,0,1,02,
11EW00415,T4063,,3T SCOURS,0,1,,102,e26,,Open,,111,0,1,02,
11EW00416,R8697,,PINK,0,1,,71,e18,,Open,,88,0,1,07,
11EW00417,H6727,,3RD.PINK,0,1,,82,e20,,Preg,,89,0,1,30,
11EW00418,T4065,,PINK,0,1,,106,e22,,Preg,,122,0,1,02,
11EW00419,H6729,,PINK,0,1,,85,e18,,Preg,,92,0,1,30,
11EW00420,Z0358,,PINK.VERYHAIR,0,1,,105,e20,,Preg,,116,0,1,R3,
11EW00421,Z0359,,4T.PINK,0,1,,86,e20,,Preg,,94,0,1,R3,
11EW00422,Z0360,,BLKEYESVRYHAI,0,3,,77,e19,,Preg,,78,0,2,R3,
11EW00423,Z0361,,UGLY,0,3,,72,e18,,Open,,75,0,1,R3,
11EW00424,H6739,,PINK,0,1,,80,e17,,Preg,,96,0,1,30,
11EW00425,Z0364,,E.R.EYEVRYHAI,0,1,,84,e17,,,,0,0,1,R3,
11EW00426,H6746,,.,0,1,,98,e8,,Preg,,105,0,1,30,
11EW00427,H6747,,BRITCHY,0,1,,81,e20,,Open,,85,0,1,30,
11EW00428,H6751,,PINK,0,1,,91,e18,,Preg,,97,0,1,30,
11EW00429,R8703,,.,0,1,,107,e20,,Preg,,129,0,1,07,
11EW00430,Z0367,,4T.HAIRY.NICE,0,1,,114,e16,,Preg,,133,0,5,SC,
11EW00431,Z0369,,PINK.H SCOURS,0,1,,117,e19,,Preg,,122,0,1,R3,
11EW00432,H6755,,NICE LAMB,0,3,,89,e9,,Preg,,97,0,1,30,
11EW00433,L0511,,pneumonia,0,1,,100,e15,,Preg,,115,0,5,PC,
11EW00434,H6772,,PINK,0,1,,92,e17,,Preg,,109,0,1,30,
11EW00435,R8708,,4T.PINK,0,3,,84,e20,,Open,,94,0,1,07,
11EW00436,T4074,,4T.PINK.NICE,0,1,,94,e26,,Open,,99,0,1,02,
11EW00437,R8713,,4T,0,1,,79,e12,,Preg,,83,0,1,07,
11EW00438,H6796,,3T.HAIRY,0,3,,94,e20,,Preg,,106,0,1,30,
11EW00439,Z0375,,NICE LAMB,0,1,,101,e3,,Open,,112,0,5,C3,
11EW00440,L0513,,4T.NICE SCOUR,0,1,,92,e15,,Open,,106,0,5,PC,
11EW00441,K4842,,4T.E.R.EYE,0,1,,115,e2,,Preg,,121,0,1,06,
11EW00442,H6807,,E.L.EYE.BRITC,0,1,,101,e19,,Preg,,92,0,1,30,
11EW00443,R8718,,4T.PINK,0,3,,86,e19,,Open,,90,0,1,07,
11EW00444,H6819,,3T,0,1,,115,e8,,Preg,,114,0,1,30,
11EW00445,R8720,,3T.PINK SCOUR,0,1,,111,e20,,Preg,,124,0,1,07,
11EW00446,Z0385,,3T.VERYHAIRY,0,3,,70,e20,,Open,,78,0,1,R3,
11EW00447,Z0388,,BLK.EYELINESC,0,1,,94,brt,,Preg,,96,0,2,33,
11EW00448,Z0389,,4TEATS,0,1,,75,brt,,,,77,0,1,33,
11EW00449,H6821,,.,0,1,,93,e8,,Open,,82,0,1,30,
11EW00450,T4078,,3T.P.N.E.L.EY,0,1,,79,,,Open,,,0,1,02,
11EW00451,R8721,,.,0,1,,94,e12,,Preg,,101,0,1,07,
11EW00452,L0514,,SCOURS,0,1,,101,e14,,Open,,112,0,5,PC,
11EW00453,T4081,,.,0,1,,94,e26,,Open,,109,0,1,02,
11EW00454,Z0393,,4TEATS,0,1,,95,brt,,Open,,94,0,1,33,
11EW00455,Z0394,,4TEATS SCOURS,0,1,,90,brt,,Preg,,88,0,1,33,
11EW00456,H6830,,SCOURS,0,1,,69,e10,,Preg,,91,0,1,30,
11EW00457,H6832,,4TEATS  SCOUR,0,1,,100,e8,,Preg,,107,0,1,30,
11EW00458,R8722,,3T.PINK,0,1,,73,e19,,Open,,76,0,1,07,
11EW00459,H6845,,4T.PINK,0,1,,80,e19,,Preg,,83,0,1,30,
11EW00460,T4084,,PINK.BRITCHY,0,1,,80,,,Open,,,0,1,02,
11EW00461,H6848,,PINK,0,1,,108,e19,,Preg,,108,0,1,30,
11EW00462,H6849,,HAIRY.PINK,0,3,,70,e20,,Open,,87,0,1,30,
11EW00463,H6850,,.,0,1,,91,e19,,Preg,,98,0,1,30,
11EW00464,H6859,,.,0,1,,97,e10,,Preg,,114,0,1,30,
11EW00465,L0517,,H.4  SCOURS,0,1,,99,e15,,Preg,,118,0,2,PC,
11EW00466,R8734,,.,0,1,,75,e18,,Open,,86,0,1,07,
11EW00467,H6873,,.,0,1,,106,e17,,Preg,,115,0,1,30,
11EW00468,H6878,,.,0,1,,92,e17,,Preg,,102,0,1,30,
11EW00469,L0519,,.,0,1,,114,e15,,Preg,,122,0,5,PC,
11EW00470,Z0413,,HAIRY,0,1,,98,e19,,,,0,0,1,R3,
11EW00471,Z0414,,HAIRY,0,1,,111,e17,,Preg,,120,0,1,R3,
11EW00472,H6882,,.,0,1,,87,e19,,Preg,,88,0,1,30,
11EW00473,H6884,,4TEATS,0,1,,78,e17,,Open,,84,0,1,30,
11EW00474,H6885,,.,0,1,,76,e18,,Open,,82,0,1,30,
11EW00475,H6886,,.,0,1,,106,e9,,Preg,,124,0,1,30,
11EW00476,T4093,,E2E,0,1,,116,e26,,Open,,134,0,1,02,
11EW00477,Z0420,,2ND,0,1,,91,brt,,Preg,,94,0,1,33,
11EW00478,Z0421,,4.H,0,1,,78,brt,,Preg,,83,0,1,33,
11EW00479,H6900,,.,0,1,,85,e17,,Open,,94,0,1,30,
11EW00480,H6901,,SCOURS,0,1,,82,e20,,Open,,97,0,1,30,
11EW00481,Z0422,,HAIRY,0,3,,85,e18,,Open,,88,0,1,R3,
11EW00482,R8739,,.,0,1,,96,e19,,Open,,95,0,1,07,
11EW00483,Z0426,,4TEATS,0,1,,100,e18,,Preg,,113,0,1,R3,
11EW00484,Z0427,,HAIRY,0,3,,74,e19,,Open,,68,0,1,R3,
11EW00485,R8744,,.,0,1,,80,e12,,Open,,97,0,1,07,
11EW00486,Z0428,,HAIRY,0,1,,77,e20,,Open,,86,0,1,R3,
11EW00487,H6916,,.,0,3,,82,e17,,Open,,91,0,1,30,
11EW00488,H6917,,4TEATS,0,3,,75,e18,,Open,,83,0,1,30,
11EW00489,H6921,,.,0,1,,91,e18,,Preg,,104,0,1,30,
11EW00490,R8748,,HAIRY,0,3,,71,e19,,,,71,0,1,07,
11EW00491,H6925,,.,0,3,,76,e19,,Open,,78,0,2,30,
11EW00492,Z0436,,.,0,1,,76,brt,,,,72,0,1,33,
11EW00493,Z0442,,HAIRY,0,1,,89,e20,,Preg,,88,0,1,R3,
11EW00494,T4097,,E1E,0,1,,62,,,Open,,,0,1,02,
11EW00495,Z0445,,.,0,3,,82,e19,,Preg,,69,0,1,R3,
11EW00496,H6951,,.,0,3,,87,e10,,Preg,,100,0,1,30,
11EW00497,Z0446,,.,0,1,,102,e19,,Preg,,96,0,1,R3,
11EW00498,H6955,,SCOURS,0,1,,96,e10,,Preg,,103,0,1,30,
11EW00499,Z0448,,.,0,1,,98,brt,,Preg,,100,0,1,33,
11EW00500,Z0449,,SCOURS,0,1,,94,brt,,Preg,,93,0,1,33,
11EW00501,R8758,,HAIRY,0,3,,74,e20,,Open,,77,0,1,07,
11EW00502,H6960,,.,0,1,,101,e8,,Preg,,106,0,1,30,
11EW00503,H6965,,HAIRY,0,1,,98,e9,,Preg,,106,0,1,30,
11EW00504,Z0452,,.,0,1,,124,e4,,Open,,119,0,6,97,
11EW00505,H6973,,HAIRY SCOURS,0,1,,106,e9,,,,0,0,1,30,
11EW00506,H6977,,SL.PINK,0,1,,78,e20,,Open,,87,0,1,30,
11EW00507,R8765,,HAIRY SCOURS,0,1,,83,e19,,Preg,,88,0,1,07,
11EW00508,R8766,,HAIRY  SCOURS,0,3,,74,e17,,Open,,82,0,1,07,
11EW00509,H6982,,NICE LAMB,0,1,,95,e8,,Preg,,99,0,1,30,
11EW00510,Z0471,,VERYHAIRY,0,1,,81,e19,,Preg,,86,0,1,R3,
11EW00511,R8774,,4TEATS,0,1,,84,e12,,Open,,97,0,1,07,
11EW00512,R8775,,3T,0,1,,101,e12,,Open,,124,0,1,07,
11EW00513,Z0476,,4T.PINK.E.L.E,0,1,,108,brt,,,,112,0,1,33,
11EW00514,H6991,,SCOURS,0,1,,97,e9,,Preg,,106,0,1,30,
11EW00515,Z0480,,4TEATS,0,1,,117,brt,,Preg,,111,0,1,33,
11EW00516,H7006,,4TEATS,0,1,,94,e18,,Preg,,109,0,1,30,
11EW00517,H7011,,.,0,1,,98,e10,,Preg,,109,0,1,30,
11EW00518,Z0488,,PINK.H SCOURS,0,1,,96,e17,,Preg,,118,0,1,R3,
11EW00519,R8789,,.,0,3,,90,e12,,Open,,99,0,1,07,
11EW00520,R8790,,PINK.VERYUGLY,0,3,,69,e17,,Open,,75,0,1,07,
11EW00521,H7023,,3T,0,1,,80,e18,,Preg,,93,0,1,30,
11EW00522,H7033,,3TBLKLEYECORN,0,3,,85,e19,,Open,,82,0,2,30,
11EW00523,H7041,,3T.E.L.EYE,0,3,,68,e19,,Open,,75,0,1,30,
11EW00524,R8798,,PINK,0,1,,91,e17,,Preg,,109,0,1,07,
11EW00525,R8800,,4THAIRYBRLEAR,0,3,,87,e19,,Preg,,96,0,2,07,
11EW00526,R8803,,.,0,1,,101,e20,,Preg,,111,0,1,07,
11EW00527,H7061,,3T.HAIRY,0,3,,77,e10,,Open,,81,0,1,30,
11EW00528,R8814,,.,0,1,,83,e11,,Open,,88,0,1,07,
11EW00529,Z0503,,4TEATS,0,1,,106,brt,,Preg,,105,0,1,33,
11EW00530,L0525,,SCOURS,0,1,,103,e15,,Preg,,113,0,2,PC,
11EW00531,H7064,,.,0,1,,81,e8,,Open,,91,0,1,30,
11EW00532,Z0511,,PINK.H SCOURS,0,1,,94,e20,,Preg,,100,0,1,R3,
11EW00533,Z0513,,VERYHAIRY,0,1,,85,e17,,Preg,,101,0,1,R3,
11EW00534,Z0514,,3T,0,1,,97,brt,,Preg,,95,0,1,33,
11EW00535,Z0515,,3T.E2E SCOURS,0,1,,86,brt,,Preg,,0,0,1,33,
11EW00536,Z0517,,4TEATS,0,1,,87,brt,,Preg,,83,0,1,33,
11EW00537,Z0521,,HAIRY,0,1,,87,brt,,,,0,0,1,33,
11EW00538,Z0522,,3T.PINK.HAIRY,0,1,,89,brt,,,,90,0,1,33,
11EW00539,H7073,,NICE LAMB,0,1,,100,e10,,Preg,,115,0,1,30,
11EW00540,Z0523,,VH R3 SCOURS,0,1,,102,e17,,Preg,,110,0,1,R3,
11EW00541,H7075,,3T.PINK,0,3,,74,e18,,Open,,83,0,1,30,
11EW00542,H7076,,LupineLazarus,0,1,,81,e19,,Open,,76,0,1,30,
11EW00543,H7081,,4TEATS,0,1,,87,e8,,Preg,,97,0,1,30,
11EW00544,Z0525,,VERYHAIRY,0,1,,62,e17,,Preg,,74,0,1,R3,
11EW00545,H7082,,SCOURS,0,1,,109,e19,,Preg,,118,0,1,30,
11EW00546,H7087,,.,0,1,,80,e18,,,,92,0,1,30,
11EW00547,Z0530,,PVERYH SCOURS,0,3,,65,e18,,Preg,,72,0,1,R3,
11EW00548,H7089,,NICE LAMB,0,1,,114,e9,,Preg,,127,0,1,30,
11EW00549,H7097,,4TEATS,0,1,,82,e17,,Preg,,93,0,1,30,
11EW00550,Z0531,,VERYHAIRY,0,1,,93,e20,,Preg,,104,0,1,R3,
11EW00551,H7103,,3T.NICE,0,1,,106,e9,,Preg,,122,0,1,30,
11EW00552,Z0532,,VERYHAIRY,0,1,,81,e20,,Preg,,89,0,1,R3,
11EW00553,L0529,,NICE LAMB SCO,0,1,,100,e13,,Preg,,112,0,5,PC,
11EW00554,R8831,,4TEATS,0,3,,75,e11,,Open,,76,0,1,07,
11EW00555,H7121,,SCOURS,0,1,,88,e17,,Preg,,98,0,1,30,
11EW00556,H7123,,HAIRY,0,3,,86,e9,,Preg,,99,0,1,30,
11EW00557,Z0535,,PINKVERYHAIRY,0,1,,105,e18,,Preg,,113,0,1,R3,
11EW00558,H7124,,.,0,1,,79,e17,,Preg,,93,0,1,30,
11EW00559,H7133,,.,0,1,,75,e20,,Preg,,84,0,1,30,
11EW00560,H7134,,PINK,0,3,,80,e17,,,,0,0,1,30,
11EW00561,R8835,,4TEATS SCOURS,0,1,,94,e12,,Open,,101,0,1,07,
11EW00562,Z0539,,NICE LAMB,0,1,,124,e16,,Preg,,115,0,5,CS,
11EW00563,R8836,,.,0,1,,88,e17,,Preg,,93,0,1,07,
11EW00564,H7143,,4T.PINK.FUZZY,0,1,,92,e17,,Preg,,104,0,1,30,
11EW00565,R8838,,NICE LAMB,0,1,,103,e11,,Preg,,117,0,1,07,
11EW00566,Z0546,,VERYH SCOUR,0,1,,81,e19,,Preg,,82,0,1,R3,
11EW00567,Z0553,,HAIRY SCOURS,0,1,,82,e18,,Preg,,83,0,1,R3,
11EW00568,R8846,,NICE LAMB,0,1,,102,e11,,Preg,,112,0,1,07,
11EW00569,R8848,,4T.NICE,0,1,,100,e18,,Preg,,107,0,1,07,
11EW00570,L0530,,4T.NICE,0,1,,99,e15,,Preg,,110,0,5,PC,
11EW00571,R8853,,PINK,0,3,,87,e11,,Open,,88,0,1,07,
11EW00572,Z0563,,PINK SCOURS,0,1,,106,brt,,Preg,,104,0,1,33,
11EW00573,R8857,,P.NICE SCOURS,0,1,,107,e19,,Open,,115,0,1,07,
11EW00574,Z0565,,HAIRY,0,1,,88,e17,,Preg,,100,0,1,R3,
11EW00575,H7162,,SCOURS,0,1,,102,e10,,Preg,,114,0,1,30,
11EW00576,Z0566,,4T.SL.HAIRY,0,1,,93,brt,,Preg,,96,0,1,33,
11EW00577,Z0568,,VERYHAIRY,0,3,,79,e19,,Open,,83,0,1,R3,
11EW00578,Z0572,,BRITCHY SCOUR,0,1,,76,brt,,Preg,,84,0,1,33,
11EW00579,Z0573,,4TEATS SCOURS,0,1,,95,brt,,Preg,,93,0,1,33,
11EW00580,Z0574,,PINK.NOTR3,0,3,,84,e20,,Preg,,91,0,1,R3,
11EW00581,Z0575,,PINK.NOTR3,0,3,,82,e18,,Preg,,85,0,1,R3,
11EW00582,Z0577,,4TEATS SCOURS,0,1,,73,brt,,,,77,0,1,33,
11EW00583,Z0579,,4TVERYHAIRY,0,3,,78,e19,,Open,,74,0,1,R3,
11EW00584,R8861,,E.L.EYE.VET.F,0,1,,73,e18,,Open,,88,0,1,07,
11EW00585,R8864,,PINK.NICE,0,3,,98,e12,,Preg,,107,0,1,07,
11EW00586,Z0583,,4T.NOTR3.SCOU,0,3,,78,e17,,Preg,,82,0,1,R3,
11EW00587,L0534,,SCOURS,0,1,,97,e13,,Preg,,116,0,2,PC,
11EW00588,H7167,,1ST.3TE2EVETF,0,3,,83,e17,,Open,,99,0,1,30,
11EW00589,H7168,,2ND,0,1,,86,e19,,Open,,92,0,1,30,
11EW00590,H7173,,SCOURS,0,3,,87,e10,,Open,,106,0,1,30,
11EW00591,L0535,,NICE LAMB SCO,0,1,,99,e15,,Preg,,104,0,5,PC,
11EW00592,R8868,,.,0,1,,84,e12,,Open,,94,0,1,07,
11EW00593,Z0586,,VERYHAIRY,0,1,,88,e19,,Preg,,91,0,1,R3,
11EW00594,H7175,,HAIRY,0,1,,77,e18,,Open,,82,0,1,30,
11EW00595,H7179,,PROCESSED.4.1,0,1,,83,e20,,Preg,,92,0,1,30,
11EW00596,Z0590,,1STBRITCHYNOT,0,1,,86,e19,,Open,,89,0,1,R3,
11EW00597,H7182,,.,0,1,,91,e8,,Preg,,97,0,1,30,
11EW00598,R8870,,4TEATS SCOURS,0,1,,69,e11,,Open,,73,0,1,07,
11EW00599,Z0595,,4T.HAIRY.E.L.,0,1,,110,brt,,Preg,,104,0,1,33,
11EW00600,Z0600,,PINK.VERY.HAI,0,3,,72,e19,,Preg,,73,0,1,R3,
11EW00601,R8878,,4TEATS SCOURS,0,1,,74,e11,,Open,,81,0,1,07,
11EW00602,H7186,,1ST.4T.SCOURS,0,1,,102,e18,,Preg,,118,0,1,30,
11EW00603,R8880,,4T.PINKBUTNIC,0,1,,81,e18,,Open,,87,0,1,07,
11EW00604,R8881,,3T,0,1,,83,e19,,Open,,84,0,1,07,
11EW00605,R8883,,4TSLHAIRYNICE,0,1,,91,e17,,Open,,100,0,1,07,
11EW00606,Z0605,,4T.VERYHAIRY,0,1,,87,e17,,Preg,,104,0,1,R3,
11EW00607,Z0608,,HAIRY,0,1,,103,brt,,,,99,0,1,33,
11EW00608,Z0609,,HAIRY,0,1,,91,brt,,Preg,,87,0,1,33,
11EW00609,H7191,,E.R.EYE.VET.F,0,1,,82,e18,,Open,,101,0,1,30,
11EW00610,R8884,,3T,0,1,,74,e12,,Open,,82,0,1,07,
11EW00611,Z0619,,4TEATS,0,1,,99,brt,,Preg,,92,0,1,33,
11EW00612,R8886,,.,0,1,,70,e20,,Open,,82,0,1,07,
11EW00613,Z0621,,VHELEYEVETFIX,0,1,,75,e18,,Preg,,87,0,1,R3,
11EW00614,R8888,,4T.BRITCHY,0,3,,84,e20,,Open,,91,0,1,07,
11EW00615,Z0623,,4T.NICE.CLEAN,0,1,,106,e16,,Preg,,103,0,5,CS,
11EW00616,Z0625,,4T.BRITCHY,0,1,,106,brt,,,,97,0,1,33,
11EW00617,H7200,,.,0,1,,89,e9,,Preg,,100,0,1,30,
11EW00618,Z0626,,4TVRYHAIRYSCO,0,1,,74,e19,,Preg,,76,0,1,R3,
11EW00619,R8897,,.,0,1,,91,e17,,,,0,0,1,07,
11EW00620,H7205,,.,0,3,,101,e10,,Preg,,113,0,1,30,
11EW00621,H7207,,SCOURS,0,1,,84,e8,,Preg,,87,0,1,30,
11EW00622,H7208,,.,0,1,,74,e17,,Preg,,81,0,1,30,
11EW00623,R8899,,3T.NICE,0,1,,67,e18,,Open,,78,0,1,07,
11EW00624,Z0633,,PINKVHAIRYSCO,0,1,,87,e20,,Preg,,92,0,1,R3,
11EW00625,Z0634,,3T.NICE,0,1,,100,e7,,Open,,102,0,5,S3,
11EW00626,H7216,,HAIRY,0,1,,90,e19,,Open,,102,0,1,30,
11EW00627,H7233,,4TEATS,0,3,,84,e10,,Preg,,91,0,1,30,
11EW00628,Z0637,,HAIRYEREYESCO,0,1,,133,brt,,Preg,,134,0,1,33,
11EW00629,H7237,,.,0,1,,99,e8,,Preg,,109,0,1,30,
11EW00630,Z0639,,HAIRY,0,1,,85,e20,,Preg,,96,0,1,R3,
11EW00631,R8914,,SCOURS,0,1,,74,e11,,Open,,75,0,1,07,
11EW00632,Z0649,,SCOURS,0,1,,83,brt,,,,0,0,1,33,
11EW00633,Z0650,,SCOURS,0,1,,67,brt,,,,0,0,1,33,
11EW00634,R8918,,SCOURS,0,1,,80,e20,,Open,,89,0,1,07,
11EW00635,Z0654,,HAIRY,0,3,,68,e18,,Open,,78,0,1,R3,
11EW00636,H7245,,4TEATS,0,1,,93,e17,,Preg,,99,0,1,30,
11EW00637,R8922,,.,0,1,,73,e18,,Preg,,79,0,1,07,
11EW00638,R8927,,.,0,1,,89,e12,,,,0,0,1,07,
11EW00639,H7253,,.,0,1,,85,e18,,Open,,93,0,1,30,
11EW00640,H7256,,.,0,3,,81,e9,,Preg,,92,0,1,30,
11EW00641,R8930,,.,0,1,,78,e12,,Preg,,92,0,1,07,
11EW00642,R8931,,HAIRY,0,3,,71,e19,,Preg,,70,0,1,07,
11EW00643,R8932,,.,0,1,,83,e12,,Open,,98,0,1,07,
11EW00644,H7263,,E.R.EYE.VETFI,0,1,,82,e9,,Preg,,96,0,1,30,
11EW00645,Z0662,,4.H,0,1,,85,e20,,Preg,,92,0,1,R3,
11EW00646,H7270,,.,0,1,,87,e20,,Preg,,98,0,1,30,
11EW00647,R8939,,4TEATS,0,1,,88,e11,,Open,,102,0,1,07,
11EW00648,Z0665,,SCOURS,0,1,,89,brt,,Preg,,85,0,1,33,
11EW00649,R8943,,4TEATS,0,3,,73,e11,,Open,,80,0,1,07,
11EW00650,Z0666,,HAIRY,0,3,,75,e18,,Open,,81,0,1,R3,
11EW00651,H7299,,SCOURS,0,1,,100,e18,,Preg,,112,0,1,30,
11EW00652,Z0669,,.,0,1,,110,brt,,Preg,,109,0,1,33,
11EW00653,Z0670,,4TEATS,0,1,,99,brt,,,,94,0,1,33,
