UID,ID10,ETAG,BRD,ID,YR,SEX,LINE,SEA,STM,PEN,SIRE,SBRD,DAM,DBRD,RGRP,DNA,ELG,PD,LOT,BAND,PREG,SPRGWT,FALLWT,BAG,GRP,DISP,DAYDIS,TRT,BPEN,BGRP,AGE,RMK,STUDY,STUDYTRT,IDAR,CLR,ALTID,INBRL,CULLPILE,YRREC
21IN00721,2017121282,S1282,12,S1282,17,2,,1,42,72,S1125,00,R9920,11,0,,,1,MAG,2,,155,138,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00722,2017121287,S1287,12,S1287,17,2,,1,42,68,S0741,00,S0527,12,,,,1,MAG,D,,197,200,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00723,2017121288,S1288,12,S1288,17,2,,1,42,71,S1124,00,R9141,11,0,,,1,BLD,2,,157,166,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00724,2017121289,S1289,12,S1289,17,2,,1,42,71,S1124,00,R9141,11,0,,,1,BLD,2,,166,173,2,,,,,,,4.0,TIGHTBAG,,,,2,,0.0,,2021
21IN00725,2017121313,S1313,12,S1313,17,2,,1,07,61,S0668,12,S0216,12,0,,,1,$,1,,171,168,2,,,,,,,4.0,LTLS,ADRU,,,1,,0.027,,2021
21IN00726,2017121319,S1319,12,S1319,17,2,,1,43,73,S1126,00,R9455,11,0,,,1,MAG,1,,166,182,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00727,2017121326,S1326,12,S1326,17,2,,1,07,62,S0733,00,R9733,11,0,,,1,MAG,D,,183,194,1,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00728,2017121328,S1328,12,S1328,17,2,,1,07,65,S0736,00,S0127,12,0,,,1,MAG,1,,157,168,2,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00729,2017121336,S1336,12,S1336,17,2,,1,07,65,S0736,00,R9069,11,0,,,1,BLD,2,,168,174,2,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00730,2017121341,S1341,12,S1341,17,2,,1,07,57,S0404,12,S0097,12,0,,,1,MAG,2,,166,175,2,,,,,,,4.0,.,ADRU,,,1,,0.087,,2021
21IN00731,2017121342,S1342,12,S1342,17,2,,1,07,57,S0404,12,S0097,12,0,,,1,MAG,2,,248,222,2,,,,,,,4.0,LTRS,ADRU,,,1,,0.087,,2021
21IN00732,2017121346,S1346,12,S1346,17,2,,1,07,58,S0548,12,S0015,12,0,,,1,MAG,1,,224,202,2,,,,,,,4.0,.,ADRU,,,1,,0.048,,2021
21IN00733,2017121348,S1348,12,S1348,17,2,,1,07,63,S0734,00,S0411,12,0,,,1,$,2,,200,196,2,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00734,2017121350,S1350,12,S1350,17,2,,1,07,69,S0742,00,R9465,11,0,,,1,BLD,2,,189,187,2,,,,,,,4.0,LTLS,ADRU,,,1,,0.0,,2021
21IN00735,2017121351,S1351,12,S1351,17,2,,1,07,69,S0742,00,R9465,11,0,,,1,BLD,2,,151,173,2,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00736,2017121352,S1352,12,S1352,17,2,,1,07,69,S0742,00,R8621,11,0,,,3,$,1,,184,171,12,,93,0908,,,,4.0,ImmediateX,ADRU,,3115,1,,0.0,,2021
21IN00737,2017121353,S1353,12,S1353,17,2,,1,07,69,S0742,00,R8621,11,0,,,1,BLD,2,,163,186,1,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00738,2017121355,S1355,12,S1355,17,2,,1,42,72,S1125,00,R9164,11,0,,,1,BLD,H,,217,229,1,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00739,2017121357,S1357,12,S1357,17,2,,1,43,67,S0739,00,R9990,11,0,,,1,MAG,1,,201,188,2,,,,,,,4.0,.,Term,,,2,,0.0,,2021
21IN00740,2017121358,S1358,12,S1358,17,2,,1,43,67,S0739,00,R9990,11,0,,,1,MAG,2,,226,205,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00741,2017121359,S1359,12,S1359,17,2,,1,07,66,S0737,00,S0375,12,0,,,1,BLD,1,,156,161,2,,,,,,,4.0,HERNIA,ADRU,,,1,,0.0,,2021
21IN00742,2017121361,S1361,12,S1361,17,1,,1,07,57,S0404,12,R9799,11,,,,3,MAG,M,,241,257,0,,93,1210,,,,4.0,X->Bitter,,,15753,1,,0.059,,2021
21IN00743,2017121364,S1364,12,S1364,17,2,,1,07,57,S0404,12,R9206,11,0,,,1,BLD,2,,177,185,2,,,,,,,4.0,.,ADRU,,,1,,0.048,,2021
21IN00744,2017121365,S1365,12,S1365,17,2,,1,07,57,S0404,12,R9206,11,0,,,1,$,1,,223,207,2,,,,,,,4.0,.,ADRU,,,2,,0.048,,2021
21IN00745,2017121374,S1374,12,S1374,17,2,,1,43,73,S1126,00,R8570,11,0,,,1,BLD,1,,171,171,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00746,2017121381,S1381,12,S1381,17,2,,1,07,59,S0570,12,S0414,12,0,,,3,$,2,,176,178,2,,93,1004,,,,4.0,.,ADRU,,15365,1,,0.02,,2021
21IN00747,2017121390,S1390,12,S1390,17,2,,1,07,59,S0570,12,S0265,12,0,,,1,MAG,1,,191,176,2,,,,,,,4.0,.,ADRU,,,1,,0.041,,2021
21IN00748,2017121395,S1395,12,S1395,17,2,,1,07,63,S0734,00,R9270,11,0,,,6,MAG,,,0,0,0,,01,0212,,,,4.0,Found dead,,,,1,,0.0,,2021
21IN00749,2017121404,S1404,12,S1404,17,2,,1,42,68,S0741,00,S0148,12,,,,1,BLD,2,,172,171,2,,,,,,,4.0,.,,,,1,,0.0,,2021
21IN00750,2017121419,S1419,12,S1419,17,2,,1,07,61,S0668,12,R9906,11,0,,,1,MAG,1,,183,184,2,,,,,,,4.0,.,ADRU,,,1,,0.027,,2021
21IN00751,2017121426,S1426,12,S1426,17,2,,1,07,61,S0668,12,R9528,11,0,,,1,BLD,2,,166,160,2,,,,,,,4.0,.,ADRU,,,1,,0.26,,2021
21IN00752,2017121431,S1431,12,S1431,17,2,,1,07,57,S0404,12,R9795,11,0,,,1,MAG,2,,171,185,2,,,,,,,4.0,VLT,ADRU,,,1,,0.024,,2021
21IN00753,2017121435,S1435,12,S1435,17,2,,1,07,65,S0736,00,S0169,12,0,,,1,MAG,2,,179,190,4,,,,,,,4.0,.,ADRU,,,1,,0.0,,2021
21IN00754,2017121437,S1437,12,S1437,17,2,,1,07,60,S0611,12,S0622,12,,,,3,$,D,,157,184,8,,93,1004,,,,4.0,X Bag,ADRU,,15421,1,,0.078,,2021
21IN00755,2017121443,S1443,12,S1443,17,2,,1,07,57,S0404,12,R9911,11,0,,,1,MAG,D,,202,210,1,,,,,,,4.0,.,ADRU,,,1,,0.06,,2021
21IN00756,2017121452,S1452,12,S1452,17,2,,1,07,58,S0548,12,R8814,11,0,,,1,$,2,,163,176,2,,,,,,,4.0,.,ADRU,,,1,,0.025,,2021
21IN00757,2017121471,S1471,12,S1471,17,2,,1,07,60,S0611,12,R9431,11,0,,,6,BLD,2,,193,0,0,,05,0522,,,,4.0,.,,,,1,,0.019,,2021
21IN00758,2017121474,S1474,12,S1474,17,2,,1,07,61,S0668,12,R9607,11,,,,6,MAG,1,,183,0,0,,05,0621,,,,4.0,.,,,,1,,0.028,,2021
21IN00759,2017121475,S1475,12,S1475,17,2,,1,07,60,S0611,12,R8213,11,0,,,1,$,2,,193,209,2,,,,,,,4.0,.,ADRU,,,1,,0.032,,2021
21IN00760,2017121495,S1495,12,S1495,17,2,,1,07,58,S0548,12,R9546,11,0,,,1,$,2,,190,168,1,,,,,,,4.0,.,ADRU,,,1,,0.06,,2021
21IN00761,2017121496,S1496,12,S1496,17,2,,1,07,58,S0548,12,R9546,11,0,,,3,BLD,D,,190,185,1,,93,1004,,,,4.0,.,ADRU,,15474,1,,0.06,,2021
21IN00762,2018121513,S1513,12,S1513,18,2,,1,07,65,S1069,12,S0370,12,,,,3,RED,2,,261,238,9,,93,1004,,,,3.0,.,ADRU,,15534,1,,0.03,,2021
21IN00763,2018121517,S1517,12,S1517,18,2,,1,07,61,S0583,12,R9149,11,0,,,6,,1,,217,0,0,,66,0901,,,,3.0,Very sick,ADRU,,0,1,,0.041,,2021
21IN00764,2018121520,S1520,12,S1520,18,2,,1,07,36,S0829,12,R8167,11,0,,,1,SHN,2,,164,179,2,,,,,,,3.0,WARTS,ADRU,,,1,,0.019,,2021
21IN00765,2018121522,S1522,12,S1522,18,2,,1,43,68,S1126,00,S0352,12,,,,3,,D,,197,213,1,,93,1018,,,,3.0,NOLAMBFOUND,,,15704,1,,0.0,,2021
21IN00766,2018121535,S1535,12,S1535,18,2,,1,42,73,S1501,00,R9879,11,,,,1,RED,1,,187,177,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00767,2018121542,S1542,12,S1542,18,2,,1,07,61,S0583,12,S0163,12,0,,,1,,2,,209,194,3,,,,,,,3.0,.,ADRU,,,1,,0.036,,2021
21IN00768,2018121553,S1553,12,S1553,18,2,,1,42,72,S1500,00,S0395,12,0,,,3,RED,1,,194,183,8,,93,1004,,,,3.0,X Bag,,,15406,1,,0.0,,2021
21IN00769,2018121555,S1555,12,S1555,18,2,,1,07,71,S1499,00,R9574,11,0,,,1,RED,1,,160,145,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00770,2018121562,S1562,12,S1562,18,2,,1,07,71,S1499,00,R9264,11,0,,,1,,1,,157,157,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00771,2018121570,S1570,12,S1570,18,2,,1,07,61,S0583,12,S0995,12,,,,1,RGR,2,,188,186,2,,,,,,,3.0,.,ADRU,,,1,,0.025,,2021
21IN00772,2018121578,S1578,12,S1578,18,2,,1,42,67,S1125,00,R9902,11,0,,,1,RED,2,,156,160,2,,,,,,,3.0,Has Y0089,,,,1,,0.0,,2021
21IN00773,2018121586,S1586,12,S1586,18,2,,1,07,61,S0583,12,S0318,12,0,,,1,RED,2,,194,201,2,,,,,,,3.0,LTBS,ADRU,,,1,,0.031,,2021
21IN00774,2018121594,S1594,12,S1594,18,2,,1,42,66,S1124,00,S0273,12,0,,,1,RED,1,,168,158,2,,,,,,,3.0,RSBLOODY,,,,1,,0.0,,2021
21IN00775,2018121598,S1598,12,S1598,18,2,,1,07,63,S0801,12,S0217,12,0,,,1,RED,2,,218,208,2,,,,,,,3.0,.,ADRU,,,1,,0.035,,2021
21IN00776,2018121604,S1604,12,S1604,18,2,,1,42,70,S1498,00,S0904,12,0,,,1,RGR,1,,190,199,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00777,2018121608,S1608,12,S1608,18,2,,1,43,68,S1126,00,R9733,11,0,,,1,RED,1,,190,188,4,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00778,2018121609,S1609,12,S1609,18,2,,1,42,67,S1125,00,S0824,12,0,,,1,RGR,2,,173,161,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00779,2018121612,S1612,12,S1612,18,1,,1,07,64,S0912,12,S0792,12,0,,,3,RGR,M,,193,230,0,,93,1210,,,,3.0,X->Bitter,,,15750,1,,0.058,,2021
21IN00780,2018121623,S1623,12,S1623,18,2,,1,43,68,S1126,00,S0948,12,0,,,2,RGR,1,,227,212,2,,92,0916,,,,3.0,.,,,15152,1,,0.0,,2021
21IN00781,2018121631,S1631,12,S1631,18,2,,1,07,64,S0912,12,S0414,12,0,,,1,,2,,173,178,2,,,,,,,3.0,.,ADRU,,,1,,0.036,,2021
21IN00782,2018121635,S1635,12,S1635,18,2,,1,42,67,S1125,00,S0434,12,0,,,3,RED,1,,152,164,2,,93,1018,,,,3.0,.,,,15700,1,,0.0,,2021
21IN00783,2018121639,S1639,12,S1639,18,2,,1,42,72,S1500,00,R9160,11,0,,,1,,1,,213,207,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00784,2018121650,S1650,12,S1650,18,2,,1,07,62,S0791,12,R9911,11,0,,,1,RED,1,,174,172,2,,,,,,,3.0,CHUNKY,ADRU,,,1,,0.035,,2021
21IN00785,2018121651,S1651,12,S1651,18,2,,1,07,62,S0791,12,R9911,11,0,,,1,RED,2,,147,179,1,,,,,,,3.0,.,ADRU,,,1,,0.035,,2021
21IN00786,2018121655,S1655,12,S1655,18,2,,1,07,69,S1497,00,S0848,12,0,,,1,RGR,1,,163,173,2,,,,,,,3.0,LT,ADRU,,,1,,0.0,,2021
21IN00787,2018121656,S1656,12,S1656,18,2,,1,42,67,S1125,00,R9599,11,0,,,1,,2,,178,179,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00788,2018121665,S1665,12,S1665,18,2,,1,42,70,S1498,00,S0176,12,0,,,1,RED,2,,165,164,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00789,2018121669,S1669,12,S1669,18,2,,1,07,65,S1069,12,R9033,11,0,,,1,RED,2,,167,180,2,,,,,,,3.0,.,ADRU,,,1,,0.029,,2021
21IN00790,2018121673,S1673,12,S1673,18,1,,1,42,67,S1125,00,R9208,11,0,,,3,,M,,240,0,0,,93,0614,,,,3.0,B. Ovis,,,2910,1,,0.0,,2021
21IN00791,2018121675,S1675,12,S1675,18,2,,1,07,69,S1497,00,R9613,11,,,,1,RED,2,,146,168,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00792,2018121692,S1692,12,S1692,18,2,,1,42,72,S1500,00,R9809,11,0,,,1,RED,1,,188,184,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00793,2018121697,S1697,12,S1697,18,2,,1,07,61,S0583,12,S0265,12,0,,,1,RED,1,,144,147,2,,,,,,,3.0,.,ADRU,,,1,,0.036,,2021
21IN00794,2018121699,S1699,12,S1699,18,2,,1,42,72,S1500,00,R9653,11,0,,,1,RED,2,,205,197,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00795,2018121704,S1704,12,S1704,18,2,,1,42,67,S1125,00,S1014,12,0,,,3,RGR,1,,142,162,6,,93,1018,,,,3.0,X Bag,,,15671,1,,0.0,,2021
21IN00796,2018121706,S1706,12,S1706,18,2,,1,42,70,S1498,00,R9640,11,,,,1,,1,,171,174,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00797,2018121711,S1711,12,S1711,18,2,,1,42,73,S1501,00,S0411,12,0,,,1,RED,1,,208,200,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00798,2018121722,S1722,12,S1722,18,2,,1,43,68,S1126,00,R9920,11,0,,,7,RED,2,,164,0,0,,97,0906,,,,3.0,LOWBAG,,,,1,,0.0,,2021
21IN00799,2018121730,S1730,12,S1730,18,2,,1,07,71,S1499,00,R9797,11,,,,1,,2,,176,171,3,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00800,2018121733,S1733,12,S1733,18,2,,1,42,70,S1498,00,S0465,12,0,,,1,,2,,186,189,2,,,,,,,3.0,LTLS,,,,1,,0.0,,2021
21IN00801,2018121741,S1741,12,S1741,18,2,,1,07,63,S0801,12,R8703,11,0,,,1,,D,,223,229,1,,,,,,,3.0,.,ADRU,,,1,,0.023,,2021
21IN00802,2018121744,S1744,12,S1744,18,2,,1,07,62,S0791,12,S0250,12,0,,,1,,2,,198,199,1,,,,,,,3.0,.,ADRU,,,1,,0.041,,2021
21IN00803,2018121745,S1745,12,S1745,18,2,,1,42,67,S1125,00,R8682,11,0,,,3,,2,,154,157,9,,93,1018,,,,3.0,X Bag,,,15657,1,,0.0,,2021
21IN00804,2018121748,S1748,12,S1748,18,1,,1,07,63,S0801,12,S0963,12,0,,,3,RGR,M,,206,244,0,,93,0818,,,,3.0,Sl.Under,,,2964,1,,0.045,,2021
21IN00805,2018121751,S1751,12,S1751,18,1,,1,07,69,S1497,00,R9744,11,,,,3,RED,M,,220,245,0,,93,0818,,,,3.0,Scurs,,,2979,1,,0.0,,2021
21IN00806,2018121753,S1753,12,S1753,18,2,,1,07,65,S1069,12,S0756,12,0,,,1,RGR,2,,183,182,2,,,,,,,3.0,.,ADRU,,,1,,0.035,,2021
21IN00807,2018121765,S1765,12,S1765,18,2,,1,07,62,S0791,12,S1070,12,0,,,1,RGR,1,,163,168,2,,,,,,,3.0,.,ADRU,,,1,,0.035,,2021
21IN00808,2018121769,S1769,12,S1769,18,2,,1,43,68,S1126,00,R9602,11,0,,,6,RED,1,,179,0,0,,05,0523,,,,3.0,.,,,,1,,0.0,,2021
21IN00809,2018121772,S1772,12,S1772,18,2,,1,42,66,S1124,00,S0161,12,0,,,3,RED,2,,175,188,2,,93,1018,,,,3.0,.,,,15643,1,,0.0,,2021
21IN00810,2018121776,S1776,12,S1776,18,2,,1,42,67,S1125,00,S0684,12,0,,,3,RED,D,,189,201,1,,93,1018,,,,3.0,.,,,15617,1,,0.0,,2021
21IN00811,2018121782,S1782,12,S1782,18,2,,1,42,66,S1124,00,S1095,12,0,,,6,RGR,2,,168,0,0,,05,0528,,,,3.0,.,,,,1,,0.0,,2021
21IN00812,2018121792,S1792,12,S1792,18,2,,1,42,72,S1500,00,S0920,12,0,,,1,RGR,2,,177,173,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00813,2018121794,S1794,12,S1794,18,2,,1,42,67,S1125,00,R9711,11,0,,,1,RED,1,,162,168,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00814,2018121796,S1796,12,S1796,18,2,,1,07,71,S1499,00,S1076,12,0,,,1,RGR,2,,190,184,2,,,,,,,3.0,LSBLOODY,ADRU,,,1,,0.0,,2021
21IN00815,2018121802,S1802,12,S1802,18,2,,1,42,73,S1501,00,R9663,11,0,,,1,,2,,168,180,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00816,2018121808,S1808,12,S1808,18,1,,1,07,65,S1069,12,S0045,12,0,,,3,,M,,251,268,0,,93,0818,,,,3.0,BrknLFHoof,,,2995,1,,0.035,,2021
21IN00817,2018121824,S1824,12,S1824,18,2,,1,42,66,S1124,00,R9185,11,0,,,3,,D,,180,190,1,,93,1018,,,,3.0,.,,,15652,1,,0.0,,2021
21IN00818,2018121825,S1825,12,S1825,18,2,,1,42,66,S1124,00,R9185,11,0,,,3,,2,,167,179,9,,93,1018,,,,3.0,X Bag,,,15582,1,,0.0,,2021
21IN00819,2018121826,S1826,12,S1826,18,2,,1,07,65,S1069,12,S0447,12,0,,,1,,2,,219,217,2,,,,,,,3.0,.,ADRU,,,1,,0.027,,2021
21IN00820,2018121843,S1843,12,S1843,18,2,,1,07,71,S1499,00,S0911,12,,,,3,RGR,D,,166,199,5,,93,1004,,,,3.0,X Bag,ADRU,,15417,1,,0.0,,2021
21IN00821,2018121844,S1844,12,S1844,18,2,,1,07,71,S1499,00,S0911,12,,,,3,RGR,2,,177,189,3,,93,1004,,,,3.0,X Bag,ADRU,,15399,1,,0.0,,2021
21IN00822,2018121845,S1845,12,S1845,18,2,,1,42,73,S1501,00,R9990,11,0,,,1,RED,1,,206,219,1,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00823,2018121861,S1861,12,S1861,18,2,,1,42,67,S1125,00,S0346,12,0,,,7,RED,2,,155,0,0,,97,0906,,,,3.0,.,,,,1,,0.0,,2021
21IN00824,2018121872,S1872,12,S1872,18,1,,1,42,67,S1125,00,S0162,12,0,,,3,RED,M,,230,250,0,,93,0928,,,,3.0,X->Bitter,,,15547,1,,0.0,,2021
21IN00825,2018121878,S1878,12,S1878,18,1,,1,42,73,S1501,00,R9592,11,0,,,3,,M,,224,263,0,,93,0818,,,,3.0,Scurs,,,2925,1,,0.0,,2021
21IN00826,2018121880,S1880,12,S1880,18,2,,1,42,72,S1500,00,S0527,12,,,,1,RED,2,,185,183,2,,,,,,,3.0,.,,,,1,,0.0,,2021
21IN00827,2018121887,S1887,12,S1887,18,2,,1,07,63,S0801,12,R9872,11,0,,,1,RED,2,,178,191,4,,,,,,,3.0,.,ADRU,,,1,,0.028,,2021
21IN00828,2018121888,S1888,12,S1888,18,2,,1,07,63,S0801,12,R9872,11,0,,,1,RED,1,,169,178,1,,,,,,,3.0,.,ADRU,,,1,,0.028,,2021
21IN00829,2018121904,S1904,12,S1904,18,2,,1,07,71,S1499,00,S0626,12,0,,,1,RED,1,,167,182,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00830,2018121913,S1913,12,S1913,18,2,,1,07,65,S1069,12,S0771,12,,,,1,RGR,2,,168,191,2,,,,,,,3.0,.,ADRU,,,1,,0.065,,2021
21IN00831,2018121915,S1915,12,S1915,18,2,,1,07,64,S0912,12,S0042,12,0,,,1,RED,1,,164,173,2,,,,,,,3.0,.,ADRU,,,1,,0.04,,2021
21IN00832,2018121921,S1921,12,S1921,18,2,,1,07,71,S1499,00,R9159,11,0,,,1,,1,,184,171,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00833,2018121927,S1927,12,S1927,18,2,,1,07,71,S1499,00,S0219,12,0,,,1,RED,1,,207,174,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00834,2018121928,S1928,12,S1928,18,2,,1,07,71,S1499,00,S0219,12,0,,,1,RED,2,,176,165,2,,,,,,,3.0,.,ADRU,,,1,,0.0,,2021
21IN00835,2019121961,S1961,12,S1961,19,2,,1,07,50,S1159,12,S0792,12,0,,,1,GRN,1,,160,152,2,,,,,,,2.0,.,ADRU,,,1,,0.044,,2021
21IN00836,2019121963,S1963,12,S1963,19,2,,1,07,69,S1941,00,S1139,12,0,,,1,,2,,127,147,2,,,,,,,2.0,.,ADRU,,,1,,0.0,,2021
21IN00837,2019121965,S1965,12,S1965,19,1,,1,07,56,S1401,12,S1074,12,0,,,2,GRN,M,,222,248,0,,92,0825,,,,2.0,Scurs,,,3081,1,,0.028,,2021
21IN00838,2019121967,S1967,12,S1967,19,1,,1,07,56,S1401,12,S1177,12,0,,,1,,M,,200,237,0,,,,,,,2.0,.,,,,1,,0.068,,2021
21IN00839,2019121970,S1970,12,S1970,19,2,,1,07,60,S1497,00,S1232,12,0,,,3,GRN,H,,160,0,0,,93,0614,,,,2.0,.,,,2897,1,,0.0,,2021
21IN00840,2019121972,S1972,12,S1972,19,2,,1,43,59,S1126,00,S0777,12,0,,,6,GRN,,,0,0,0,,66,0312,,,,2.0,R&V.Prolapse,,,,1,,0.0,,2021
21IN00841,2019121974,S1974,12,S1974,19,2,,1,07,53,S1271,12,S0963,12,0,,,3,GRN,D,,166,182,1,,93,1018,,,,2.0,STINKS,,,15670,1,,0.038,,2021
21IN00842,2019121976,S1976,12,S1976,19,2,,1,07,51,S1305,12,R9846,11,0,,,1,,D,,189,210,1,,,,,,,2.0,.,ADRU,,,1,,0.057,,2021
21IN00843,2019121977,S1977,12,S1977,19,2,,1,07,51,S1305,12,R9846,11,0,,,1,,1,,185,180,2,,,,,,,2.0,.,ADRU,,,2,,0.057,,2021
21IN00844,2019121978,S1978,12,S1978,19,2,,1,07,60,S1497,00,S1352,12,0,,,3,GRN,D,,195,209,1,,93,1004,,,,2.0,Wnwt missed,,,15428,2,,0.0,,2021
21IN00845,2019121979,S1979,12,S1979,19,2,,1,07,54,S1361,12,S1098,12,,,,1,GRN,1,,207,189,2,,,,,,,2.0,.,ADRU,,,3,,0.045,,2021
21IN00846,2019121983,S1983,12,S1983,19,2,,1,07,50,S1159,12,S0219,12,0,,,1,,2,,167,176,1,,,,,,,2.0,.,ADRU,,,1,,0.041,,2021
21IN00847,2019121987,S1987,12,S1987,19,2,,1,07,54,S1361,12,S0581,12,0,,,1,,2,,173,173,2,,,,,,,2.0,.,ADRU,,,1,,0.029,,2021
21IN00848,2019121989,S1989,12,S1989,19,2,,1,07,48,S0801,12,S0666,12,0,,,3,,D,,197,226,1,,93,1018,,,,2.0,.,,,15612,1,,0.039,,2021
21IN00849,2019121996,S1996,12,S1996,19,2,,1,07,48,S0801,12,S0861,12,,,,3,GRN,2,,166,163,6,,93,1004,,,,2.0,X Bag,ADRU,,15404,1,,0.037,,2021
21IN00850,2019121999,S1999,12,S1999,19,2,,1,42,57,S1124,00,S1382,12,0,,,1,GRN,2,,172,183,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00851,2019122000,S2000,12,S2000,19,2,,1,42,57,S1124,00,S1382,12,0,,,1,GRN,2,,152,162,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00852,2019122008,S2008,12,S2008,19,2,,1,07,69,S1941,00,S1374,12,0,,,1,,2,,185,173,2,,,,,,,2.0,SMBAG,ADRU,,,1,,0.0,,2021
21IN00853,2019122026,S2026,12,S2026,19,2,,1,07,66,S1936,00,S0516,12,0,,,1,,2,,183,187,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00854,2019122027,S2027,12,S2027,19,2,,1,07,67,S1937,00,S0760,12,0,,,2,GRN,2,,153,167,2,,92,0916,,,,2.0,LTLS,,,15153,1,,0.0,,2021
21IN00855,2019122034,S2034,12,S2034,19,2,,1,42,57,S1124,00,S0938,12,0,,,1,GRN,1,,155,157,2,,,,,,,2.0,FROM DRY,,,,1,,0.0,,2021
21IN00856,2019122037,S2037,12,S2037,19,2,,1,43,66,S1936,00,S1288,12,0,,,1,GRN,1,,138,158,4,,,,,,,2.0,LT.RT SIDE,,,,1,,0.0,,2021
21IN00857,2019122038,S2038,12,S2038,19,2,,1,07,50,S1159,12,S0626,12,0,,,1,,2,,135,139,2,,,,,,,2.0,.,,,,2,,0.042,,2021
21IN00858,2019122039,S2039,12,S2039,19,2,,1,07,50,S1159,12,S0626,12,0,,,1,,1,,130,142,2,,,,,,,2.0,.,,,,1,,0.042,,2021
21IN00859,2019122042,S2042,12,S2042,19,2,,1,43,66,S1936,00,S1116,12,0,,,1,GRN,2,,157,155,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00860,2019122043,S2043,12,S2043,19,2,,1,07,54,S1361,12,R9264,11,0,,,6,,2,,187,0,0,,05,0709,,,,2.0,.,,,,1,,0.026,,2021
21IN00861,2019122047,S2047,12,S2047,19,2,,1,07,50,S1159,12,S0465,12,0,,,1,,1,,167,174,2,,,,,,,2.0,LSCHUNKS,,,,1,,0.02,,2021
21IN00862,2019122052,S2052,12,S2052,19,2,,1,07,55,S1387,12,R9159,11,0,,,1,,2,,189,187,2,,,,,,,2.0,PINK,,,,1,,0.034,,2021
21IN00863,2019122055,S2055,12,S2055,19,1,,1,07,52,S1204,12,R9795,11,0,,,2,,M,,188,222,0,,92,0825,,,,2.0,Scurs,,,3078,1,,0.024,,2021
21IN00864,2019122056,S2056,12,S2056,19,2,,1,07,52,S1204,12,R9795,11,0,,,1,,2,,189,177,2,,,,,,,2.0,.,,,,1,,0.024,,2021
21IN00865,2019122058,S2058,12,S2058,19,2,,1,07,68,S1938,00,S0007,12,0,,,1,,D,,178,188,1,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00866,2019122059,S2059,12,S2059,19,2,,1,07,68,S1938,00,S0007,12,0,,,1,,1,,196,182,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00867,2019122061,S2061,12,S2061,19,2,,1,07,48,S0801,12,S1096,12,0,,,1,GRN,1,,187,186,2,,,,,,,2.0,.,,,,1,,0.038,,2021
21IN00868,2019122063,S2063,12,S2063,19,2,,1,07,72,S1949,00,S0955,12,0,,,1,GRN,1,,153,156,2,,,,,,,2.0,.,,,,1,,0.0,,2021
21IN00869,2019122066,S2066,12,S2066,19,2,,1,42,63,S1500,00,S0528,12,0,,,1,,2,,152,158,4,,,,,,,2.0,.,,,,1,,0.0,,2021
